province_id,centroid_x,centroid_y,pixel_count,biome,coastal
46,2997.4,449.4,201,Temperate Broadleaf & Mixed Forests,1
47,3006.8,443.6,119,Temperate Broadleaf & Mixed Forests,1
48,3046.3,447.0,209,Temperate Broadleaf & Mixed Forests,1
49,3044.2,467.4,272,Temperate Broadleaf & Mixed Forests,0
50,3021.2,474.2,191,Temperate Broadleaf & Mixed Forests,0
51,3006.8,468.1,149,Temperate Broadleaf & Mixed Forests,0
52,2990.3,483.1,199,Temperate Broadleaf & Mixed Forests,0
53,2968.5,467.4,215,Temperate Broadleaf & Mixed Forests,0
54,2947.0,456.7,137,Temperate Broadleaf & Mixed Forests,1
55,2931.6,462.1,178,Temperate Broadleaf & Mixed Forests,1
56,2926.7,480.9,120,Temperate Broadleaf & Mixed Forests,0
57,2964.7,489.0,250,Temperate Broadleaf & Mixed Forests,0
58,2994.0,492.0,119,Temperate Broadleaf & Mixed Forests,0
59,3008.9,494.1,207,Temperate Broadleaf & Mixed Forests,0
60,3032.1,503.0,153,Temperate Broadleaf & Mixed Forests,0
61,3019.4,504.3,213,Temperate Broadleaf & Mixed Forests,0
62,2992.0,502.4,177,Temperate Broadleaf & Mixed Forests,0
63,2974.0,509.2,205,Temperate Broadleaf & Mixed Forests,0
64,3001.8,559.8,181,Temperate Broadleaf & Mixed Forests,0
65,2984.2,571.7,192,Temperate Broadleaf & Mixed Forests,0
66,2978.5,530.9,148,Temperate Broadleaf & Mixed Forests,0
67,2983.7,540.5,93,Temperate Broadleaf & Mixed Forests,0
68,2961.5,570.8,84,Temperate Broadleaf & Mixed Forests,0
69,2919.7,496.7,80,Temperate Broadleaf & Mixed Forests,0
70,2951.9,554.6,254,Temperate Broadleaf & Mixed Forests,0
71,2971.4,542.7,211,Temperate Broadleaf & Mixed Forests,0
72,2932.7,572.2,175,Temperate Broadleaf & Mixed Forests,0
73,2977.1,583.8,191,Temperate Broadleaf & Mixed Forests,0
74,2932.1,561.9,142,Temperate Broadleaf & Mixed Forests,0
75,2922.8,554.4,171,Temperate Broadleaf & Mixed Forests,0
76,3007.8,576.3,232,Temperate Broadleaf & Mixed Forests,0
77,2944.5,543.1,156,Temperate Broadleaf & Mixed Forests,0
78,2936.1,530.9,92,Temperate Broadleaf & Mixed Forests,0
79,2963.7,530.5,173,Temperate Broadleaf & Mixed Forests,0
80,2911.5,533.4,205,Temperate Broadleaf & Mixed Forests,0
81,2944.4,515.3,260,Temperate Broadleaf & Mixed Forests,0
82,2934.6,505.2,188,Temperate Broadleaf & Mixed Forests,0
83,2928.1,517.2,210,Temperate Broadleaf & Mixed Forests,0
84,2919.4,505.2,155,Temperate Broadleaf & Mixed Forests,0
85,2911.1,509.5,101,Temperate Broadleaf & Mixed Forests,0
86,2923.7,491.3,231,Temperate Broadleaf & Mixed Forests,0
87,2836.0,514.2,90,Temperate Broadleaf & Mixed Forests,1
88,2845.6,523.9,203,Temperate Broadleaf & Mixed Forests,0
89,2835.7,529.9,229,Temperate Broadleaf & Mixed Forests,1
90,2850.0,509.7,147,Temperate Broadleaf & Mixed Forests,1
91,2867.2,522.0,168,Temperate Broadleaf & Mixed Forests,0
92,2876.9,514.4,111,Temperate Broadleaf & Mixed Forests,0
93,2891.8,524.3,237,Temperate Broadleaf & Mixed Forests,0
94,2897.7,536.7,274,Temperate Broadleaf & Mixed Forests,0
95,2886.1,498.8,112,Temperate Broadleaf & Mixed Forests,0
96,2869.6,498.0,82,Temperate Broadleaf & Mixed Forests,1
97,2881.8,476.2,124,Temperate Broadleaf & Mixed Forests,1
98,2888.0,487.7,84,Temperate Broadleaf & Mixed Forests,1
99,2900.3,486.5,144,Temperate Broadleaf & Mixed Forests,1
100,2897.4,465.6,155,Temperate Broadleaf & Mixed Forests,1
101,2948.8,638.1,132,Temperate Broadleaf & Mixed Forests,1
102,2917.8,648.9,120,Temperate Conifer Forests,1
103,2922.9,620.2,178,Temperate Conifer Forests,0
104,2946.9,615.4,131,Temperate Conifer Forests,0
105,2959.3,634.1,216,Temperate Broadleaf & Mixed Forests,0
106,2972.8,637.4,152,Temperate Broadleaf & Mixed Forests,0
107,2967.6,610.0,129,Temperate Conifer Forests,0
108,2975.5,615.5,146,Temperate Conifer Forests,0
109,2969.5,625.1,154,Temperate Conifer Forests,0
110,2980.4,602.9,134,Temperate Conifer Forests,0
111,3006.1,605.8,204,Temperate Conifer Forests,1
112,2995.9,618.4,55,Temperate Conifer Forests,1
113,2990.5,630.2,166,Temperate Conifer Forests,1
114,2993.2,642.0,112,Temperate Broadleaf & Mixed Forests,1
115,2971.6,661.9,99,Temperate Broadleaf & Mixed Forests,1
116,2979.8,652.4,161,"Mediterranean Forests, Woodlands & Scrub",0
117,2983.1,669.9,237,"Mediterranean Forests, Woodlands & Scrub",1
118,2997.0,683.8,220,"Mediterranean Forests, Woodlands & Scrub",1
119,3012.8,662.3,247,"Mediterranean Forests, Woodlands & Scrub",1
120,3021.2,679.8,218,"Mediterranean Forests, Woodlands & Scrub",1
121,3028.6,701.4,191,"Mediterranean Forests, Woodlands & Scrub",1
122,3082.8,715.8,224,Temperate Broadleaf & Mixed Forests,1
123,3060.1,749.1,239,Temperate Broadleaf & Mixed Forests,1
124,3037.4,764.0,197,Temperate Broadleaf & Mixed Forests,1
125,3018.5,763.5,156,Temperate Broadleaf & Mixed Forests,1
126,3030.0,798.3,30,Temperate Broadleaf & Mixed Forests,1
127,2947.3,710.3,305,Temperate Broadleaf & Mixed Forests,1
128,3031.3,594.5,172,Temperate Conifer Forests,0
129,3032.9,608.7,240,Temperate Conifer Forests,0
130,3025.2,625.3,161,Temperate Broadleaf & Mixed Forests,1
131,3055.7,616.7,321,Temperate Conifer Forests,0
132,3031.7,580.1,303,Temperate Broadleaf & Mixed Forests,0
133,3034.9,557.1,324,Temperate Broadleaf & Mixed Forests,0
134,3061.7,566.6,268,Temperate Broadleaf & Mixed Forests,0
135,3068.9,583.1,507,Temperate Broadleaf & Mixed Forests,1
136,3062.6,658.4,266,"Mediterranean Forests, Woodlands & Scrub",1
137,3084.0,670.8,157,"Mediterranean Forests, Woodlands & Scrub",1
138,3112.2,672.8,273,Temperate Broadleaf & Mixed Forests,0
139,3078.2,652.6,353,Temperate Broadleaf & Mixed Forests,0
140,3086.7,632.3,373,Temperate Broadleaf & Mixed Forests,0
141,3128.8,643.4,281,Temperate Broadleaf & Mixed Forests,0
142,3114.6,732.0,68,Temperate Broadleaf & Mixed Forests,1
143,3121.8,716.2,237,"Mediterranean Forests, Woodlands & Scrub",1
144,3129.2,730.5,275,"Mediterranean Forests, Woodlands & Scrub",1
145,3157.9,778.5,251,"Mediterranean Forests, Woodlands & Scrub",1
146,3168.9,755.8,255,"Mediterranean Forests, Woodlands & Scrub",1
147,3154.3,732.6,483,"Mediterranean Forests, Woodlands & Scrub",1
148,3170.8,712.7,300,"Mediterranean Forests, Woodlands & Scrub",1
149,3222.6,691.6,417,Temperate Broadleaf & Mixed Forests,0
150,3186.4,662.5,711,Temperate Broadleaf & Mixed Forests,0
151,3243.5,697.9,272,Temperate Broadleaf & Mixed Forests,1
152,3060.1,600.6,244,Temperate Broadleaf & Mixed Forests,0
153,3108.2,581.0,688,Temperate Broadleaf & Mixed Forests,0
154,3098.2,558.1,312,Temperate Broadleaf & Mixed Forests,0
155,3137.0,595.5,600,Temperate Broadleaf & Mixed Forests,0
156,3150.7,618.2,466,Temperate Broadleaf & Mixed Forests,0
157,3163.2,579.9,569,Temperate Broadleaf & Mixed Forests,0
158,3203.6,598.5,498,Temperate Broadleaf & Mixed Forests,0
159,3242.4,652.4,430,"Temperate Grasslands, Savannas & Shrublands",1
160,3178.0,642.4,475,Temperate Broadleaf & Mixed Forests,0
161,3199.2,628.6,471,Temperate Broadleaf & Mixed Forests,0
162,3146.4,553.7,805,Temperate Broadleaf & Mixed Forests,0
163,3193.2,811.6,250,Temperate Broadleaf & Mixed Forests,1
164,3194.5,774.4,104,Temperate Broadleaf & Mixed Forests,1
165,2921.8,586.8,120,Temperate Broadleaf & Mixed Forests,0
166,2938.4,593.5,135,Temperate Broadleaf & Mixed Forests,0
167,2820.8,540.2,321,Temperate Broadleaf & Mixed Forests,1
168,2803.1,550.1,417,Temperate Broadleaf & Mixed Forests,1
169,2769.0,561.8,186,Temperate Broadleaf & Mixed Forests,1
170,2746.4,562.9,389,Temperate Broadleaf & Mixed Forests,1
171,2761.8,573.2,243,Temperate Broadleaf & Mixed Forests,1
172,2778.4,584.4,223,Temperate Broadleaf & Mixed Forests,1
173,2790.4,655.1,268,Temperate Broadleaf & Mixed Forests,1
174,2796.6,636.2,488,Temperate Broadleaf & Mixed Forests,1
175,2809.3,652.8,249,Temperate Broadleaf & Mixed Forests,0
176,2803.2,664.2,198,Temperate Broadleaf & Mixed Forests,0
177,2799.3,574.9,426,Temperate Broadleaf & Mixed Forests,0
178,2801.0,591.2,351,Temperate Broadleaf & Mixed Forests,0
179,2840.3,591.4,453,Temperate Broadleaf & Mixed Forests,0
180,2815.1,604.0,344,Temperate Broadleaf & Mixed Forests,0
181,2876.3,536.8,234,Temperate Broadleaf & Mixed Forests,0
182,2844.4,541.7,310,Temperate Broadleaf & Mixed Forests,0
183,2841.4,556.4,246,Temperate Broadleaf & Mixed Forests,0
184,2835.7,575.7,248,Temperate Broadleaf & Mixed Forests,0
185,2854.7,568.0,397,Temperate Broadleaf & Mixed Forests,0
186,2865.9,548.3,491,Temperate Broadleaf & Mixed Forests,0
187,2890.6,563.9,159,Temperate Broadleaf & Mixed Forests,0
188,2909.0,549.7,190,Temperate Broadleaf & Mixed Forests,0
189,2904.7,563.1,288,Temperate Broadleaf & Mixed Forests,0
190,2852.9,603.0,332,Temperate Broadleaf & Mixed Forests,0
191,2859.3,584.3,253,Temperate Broadleaf & Mixed Forests,0
192,2885.5,583.5,247,Temperate Broadleaf & Mixed Forests,0
193,2900.9,580.5,303,Temperate Broadleaf & Mixed Forests,0
194,2815.6,631.1,219,Temperate Broadleaf & Mixed Forests,0
195,2832.7,625.1,284,Temperate Broadleaf & Mixed Forests,0
196,2831.2,654.5,282,Temperate Broadleaf & Mixed Forests,0
197,2847.3,674.8,104,Temperate Broadleaf & Mixed Forests,1
198,2849.3,643.3,313,Temperate Broadleaf & Mixed Forests,0
199,2851.8,623.1,474,Temperate Broadleaf & Mixed Forests,0
200,2868.3,651.4,293,"Mediterranean Forests, Woodlands & Scrub",1
201,2886.9,655.7,189,"Mediterranean Forests, Woodlands & Scrub",1
202,2884.9,645.5,124,Temperate Broadleaf & Mixed Forests,0
203,2880.3,617.2,220,Temperate Broadleaf & Mixed Forests,0
204,2892.6,630.2,360,Temperate Broadleaf & Mixed Forests,0
205,2903.9,617.9,212,Temperate Broadleaf & Mixed Forests,0
206,2674.0,665.6,288,Temperate Broadleaf & Mixed Forests,1
207,2713.1,661.9,362,Temperate Broadleaf & Mixed Forests,1
208,2711.4,673.4,296,Temperate Broadleaf & Mixed Forests,0
209,2765.7,665.7,254,Temperate Broadleaf & Mixed Forests,1
210,2781.7,674.7,305,Temperate Broadleaf & Mixed Forests,0
211,2803.8,680.5,381,Temperate Broadleaf & Mixed Forests,0
212,2846.6,684.7,227,Temperate Broadleaf & Mixed Forests,1
213,2833.7,694.4,209,Temperate Broadleaf & Mixed Forests,1
214,2800.1,695.7,322,"Mediterranean Forests, Woodlands & Scrub",0
215,2731.1,697.6,336,"Mediterranean Forests, Woodlands & Scrub",0
216,2710.7,708.2,395,"Mediterranean Forests, Woodlands & Scrub",0
217,2750.0,712.6,353,"Mediterranean Forests, Woodlands & Scrub",0
218,2705.9,751.3,411,"Mediterranean Forests, Woodlands & Scrub",0
219,2745.9,729.6,563,"Mediterranean Forests, Woodlands & Scrub",0
220,2797.9,725.4,190,"Mediterranean Forests, Woodlands & Scrub",1
221,2782.6,761.0,318,"Mediterranean Forests, Woodlands & Scrub",1
222,2768.6,773.8,317,"Mediterranean Forests, Woodlands & Scrub",1
223,2752.4,774.2,352,"Mediterranean Forests, Woodlands & Scrub",1
224,2716.1,772.4,437,"Mediterranean Forests, Woodlands & Scrub",1
225,2731.0,760.7,404,"Mediterranean Forests, Woodlands & Scrub",0
226,2721.5,790.5,59,"Mediterranean Forests, Woodlands & Scrub",1
227,2665.2,737.1,179,Temperate Broadleaf & Mixed Forests,1
228,2690.7,720.0,317,Temperate Broadleaf & Mixed Forests,0
229,2679.7,761.8,381,"Mediterranean Forests, Woodlands & Scrub",1
230,2678.5,774.1,164,"Mediterranean Forests, Woodlands & Scrub",1
231,2675.1,694.3,236,Temperate Broadleaf & Mixed Forests,1
232,2694.1,696.3,384,Temperate Broadleaf & Mixed Forests,0
233,2730.7,521.0,142,Temperate Broadleaf & Mixed Forests,1
234,2782.1,505.6,294,Temperate Broadleaf & Mixed Forests,1
235,2817.4,504.6,148,Temperate Broadleaf & Mixed Forests,1
236,2804.7,494.7,142,Temperate Broadleaf & Mixed Forests,1
237,2789.3,492.4,277,Temperate Broadleaf & Mixed Forests,0
238,2815.8,490.7,185,Temperate Broadleaf & Mixed Forests,1
239,2770.9,492.6,192,Temperate Broadleaf & Mixed Forests,1
240,2765.0,478.7,314,Temperate Broadleaf & Mixed Forests,0
241,2752.7,495.1,177,Temperate Broadleaf & Mixed Forests,1
242,2746.9,466.4,250,Temperate Broadleaf & Mixed Forests,1
243,2802.5,463.9,225,Temperate Broadleaf & Mixed Forests,1
244,2763.9,447.2,205,Temperate Broadleaf & Mixed Forests,1
245,2776.8,444.6,195,Temperate Broadleaf & Mixed Forests,0
246,2776.0,423.4,367,Temperate Broadleaf & Mixed Forests,1
247,2760.7,432.0,288,Temperate Broadleaf & Mixed Forests,1
248,2753.7,402.2,303,Temperate Broadleaf & Mixed Forests,1
249,2737.3,415.8,359,Temperate Broadleaf & Mixed Forests,1
250,2745.2,389.6,234,Temperate Conifer Forests,0
251,2761.9,376.0,563,Temperate Conifer Forests,1
252,2732.2,380.2,498,Temperate Conifer Forests,1
253,2698.8,359.6,184,Temperate Broadleaf & Mixed Forests,1
254,3063.9,481.8,480,Temperate Broadleaf & Mixed Forests,0
255,3084.3,493.7,243,Temperate Broadleaf & Mixed Forests,0
256,3119.8,475.2,206,Temperate Broadleaf & Mixed Forests,0
257,3138.1,490.8,441,Temperate Broadleaf & Mixed Forests,0
258,3101.3,501.6,311,Temperate Broadleaf & Mixed Forests,0
259,3138.6,511.3,401,Temperate Broadleaf & Mixed Forests,0
260,3157.5,507.2,487,Temperate Broadleaf & Mixed Forests,0
261,3206.4,561.7,487,Temperate Broadleaf & Mixed Forests,0
262,3113.2,523.2,276,Temperate Broadleaf & Mixed Forests,0
263,3093.9,529.0,224,Temperate Broadleaf & Mixed Forests,0
264,3073.6,506.4,301,Temperate Broadleaf & Mixed Forests,0
265,3061.4,540.2,278,Temperate Broadleaf & Mixed Forests,0
266,3034.2,528.1,294,Temperate Broadleaf & Mixed Forests,0
267,3016.3,535.2,307,Temperate Broadleaf & Mixed Forests,0
268,3218.7,584.2,400,Temperate Broadleaf & Mixed Forests,0
269,3161.0,476.6,508,Temperate Broadleaf & Mixed Forests,0
270,3187.8,435.9,331,Temperate Broadleaf & Mixed Forests,0
271,3160.6,407.6,951,Temperate Broadleaf & Mixed Forests,0
272,3212.0,437.0,371,Temperate Broadleaf & Mixed Forests,0
273,3231.0,393.8,689,Temperate Broadleaf & Mixed Forests,0
274,3247.2,354.2,692,Temperate Broadleaf & Mixed Forests,1
275,3259.2,403.8,682,Temperate Broadleaf & Mixed Forests,0
276,3237.2,447.6,797,Temperate Broadleaf & Mixed Forests,0
277,3177.9,484.3,546,Temperate Broadleaf & Mixed Forests,0
278,3210.5,485.8,557,Temperate Broadleaf & Mixed Forests,0
279,3201.2,506.2,734,Temperate Broadleaf & Mixed Forests,0
280,3274.7,513.9,520,Temperate Broadleaf & Mixed Forests,0
281,3236.7,548.2,644,Temperate Broadleaf & Mixed Forests,0
282,3280.8,586.2,1060,Temperate Broadleaf & Mixed Forests,1
283,3337.0,568.9,815,"Temperate Grasslands, Savannas & Shrublands",0
284,3335.9,618.2,491,"Temperate Grasslands, Savannas & Shrublands",1
285,3359.0,626.7,252,Temperate Broadleaf & Mixed Forests,1
286,3415.0,585.4,292,"Temperate Grasslands, Savannas & Shrublands",1
287,3413.0,611.8,928,"Temperate Grasslands, Savannas & Shrublands",1
288,3460.3,561.6,1164,"Temperate Grasslands, Savannas & Shrublands",0
289,3303.7,495.4,671,Temperate Broadleaf & Mixed Forests,0
290,3347.5,539.3,1013,Temperate Broadleaf & Mixed Forests,0
291,3382.1,532.6,1034,Temperate Broadleaf & Mixed Forests,0
292,3279.2,459.7,580,Temperate Broadleaf & Mixed Forests,0
293,3308.9,432.9,997,Temperate Broadleaf & Mixed Forests,0
294,3367.5,383.9,484,Temperate Broadleaf & Mixed Forests,0
295,3387.5,411.3,638,Temperate Broadleaf & Mixed Forests,0
296,3366.1,431.5,563,Temperate Broadleaf & Mixed Forests,0
297,3339.4,452.9,863,Temperate Broadleaf & Mixed Forests,0
298,3378.1,500.0,923,Temperate Broadleaf & Mixed Forests,0
299,3416.9,507.7,1365,Temperate Broadleaf & Mixed Forests,0
300,3393.9,448.4,912,Temperate Broadleaf & Mixed Forests,0
301,3424.1,437.6,646,Temperate Broadleaf & Mixed Forests,0
302,3443.9,471.9,1662,Temperate Broadleaf & Mixed Forests,0
303,3512.8,498.5,1274,"Temperate Grasslands, Savannas & Shrublands",0
304,3498.0,458.1,1634,Temperate Broadleaf & Mixed Forests,0
305,3680.4,382.0,2349,Temperate Broadleaf & Mixed Forests,0
306,3502.4,394.4,1233,Temperate Broadleaf & Mixed Forests,0
307,3434.8,416.7,713,Temperate Broadleaf & Mixed Forests,0
308,3421.0,366.5,381,Temperate Broadleaf & Mixed Forests,0
309,3337.3,277.4,2861,Boreal Forests/Taiga,1
310,3301.0,342.9,1101,Temperate Broadleaf & Mixed Forests,0
311,3280.7,358.8,1139,Temperate Broadleaf & Mixed Forests,0
312,3393.1,299.4,1056,Boreal Forests/Taiga,0
313,3360.3,228.4,1707,Boreal Forests/Taiga,1
314,3422.0,329.8,848,Boreal Forests/Taiga,0
315,3190.6,59.6,5880,Boreal Forests/Taiga,1
316,3273.9,708.7,372,Temperate Broadleaf & Mixed Forests,1
317,3254.1,723.0,472,Temperate Broadleaf & Mixed Forests,1
318,3228.8,757.0,261,Temperate Broadleaf & Mixed Forests,1
319,3253.6,777.8,496,"Mediterranean Forests, Woodlands & Scrub",1
320,3235.0,789.9,72,Temperate Broadleaf & Mixed Forests,1
321,3324.5,814.9,282,Temperate Broadleaf & Mixed Forests,1
322,3264.9,737.9,481,"Mediterranean Forests, Woodlands & Scrub",0
323,3305.8,758.0,527,"Mediterranean Forests, Woodlands & Scrub",0
324,3323.3,773.3,598,Temperate Broadleaf & Mixed Forests,0
325,3328.8,696.1,420,Temperate Broadleaf & Mixed Forests,1
326,3311.4,729.1,674,Temperate Conifer Forests,0
327,3359.2,773.6,707,Temperate Broadleaf & Mixed Forests,1
328,3352.6,696.1,352,Temperate Broadleaf & Mixed Forests,1
329,3385.9,732.8,641,Temperate Conifer Forests,0
330,3425.2,709.1,549,Temperate Broadleaf & Mixed Forests,1
331,3447.5,725.6,576,Temperate Conifer Forests,0
332,3380.0,760.1,382,Temperate Broadleaf & Mixed Forests,0
333,2852.1,730.8,111,Temperate Broadleaf & Mixed Forests,1
334,2714.9,810.8,165,Temperate Broadleaf & Mixed Forests,1
335,2749.4,816.7,235,Temperate Broadleaf & Mixed Forests,1
336,2784.8,827.1,487,"Mediterranean Forests, Woodlands & Scrub",0
337,2795.5,807.0,185,Temperate Broadleaf & Mixed Forests,1
338,2850.3,791.1,327,Temperate Broadleaf & Mixed Forests,1
339,2883.3,789.9,639,Temperate Broadleaf & Mixed Forests,1
340,2916.7,798.7,548,"Mediterranean Forests, Woodlands & Scrub",0
341,2965.8,789.7,294,"Mediterranean Forests, Woodlands & Scrub",1
342,2703.4,837.6,223,Temperate Broadleaf & Mixed Forests,1
343,2738.6,830.1,728,"Mediterranean Forests, Woodlands & Scrub",0
344,2683.3,870.7,323,"Mediterranean Forests, Woodlands & Scrub",0
345,2665.3,869.4,194,Temperate Broadleaf & Mixed Forests,1
346,2734.7,878.1,948,"Mediterranean Forests, Woodlands & Scrub",0
347,2621.8,940.8,462,"Mediterranean Forests, Woodlands & Scrub",1
348,2674.5,907.4,785,"Mediterranean Forests, Woodlands & Scrub",0
349,2769.3,854.6,725,Montane Grasslands & Shrublands,0
350,2857.7,837.9,1069,"Mediterranean Forests, Woodlands & Scrub",0
351,2901.4,824.6,769,"Mediterranean Forests, Woodlands & Scrub",0
352,2934.9,843.7,1162,Deserts & Xeric Shrublands,1
353,2967.8,851.9,585,Deserts & Xeric Shrublands,1
354,3013.4,862.6,320,"Mediterranean Forests, Woodlands & Scrub",1
355,3080.3,897.0,924,Deserts & Xeric Shrublands,1
356,3128.2,882.2,1181,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1
357,3160.6,867.4,623,"Mediterranean Forests, Woodlands & Scrub",1
358,3259.1,892.9,320,Deserts & Xeric Shrublands,1
359,3281.4,920.7,338,Deserts & Xeric Shrublands,0
360,3320.7,973.2,345,Deserts & Xeric Shrublands,0
361,3293.1,909.6,199,Deserts & Xeric Shrublands,0
362,3282.5,884.5,183,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1
363,3298.1,885.2,179,Flooded Grasslands & Savannas,1
364,3333.3,888.7,440,Deserts & Xeric Shrublands,1
365,3337.2,917.4,786,Deserts & Xeric Shrublands,1
366,2578.6,932.9,105,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1
367,2385.4,757.8,112,Temperate Broadleaf & Mixed Forests,1
368,2540.9,855.7,51,Temperate Broadleaf & Mixed Forests,1
369,2758.8,334.7,67,Temperate Broadleaf & Mixed Forests,1
370,2478.3,150.5,3290,Boreal Forests/Taiga,1
371,2543.6,145.8,4378,Boreal Forests/Taiga,1
372,2694.7,434.6,393,Temperate Broadleaf & Mixed Forests,1
373,2704.6,452.2,276,Temperate Broadleaf & Mixed Forests,1
374,2702.9,475.1,206,Temperate Broadleaf & Mixed Forests,1
375,2668.7,467.5,277,Temperate Broadleaf & Mixed Forests,1
376,2659.1,451.3,395,Temperate Broadleaf & Mixed Forests,1
377,3388.1,794.3,436,"Mediterranean Forests, Woodlands & Scrub",0
378,3369.9,820.8,304,Temperate Broadleaf & Mixed Forests,1
379,3351.8,887.3,211,Deserts & Xeric Shrublands,1
380,3368.8,883.2,340,Deserts & Xeric Shrublands,1
381,3368.3,866.8,245,"Mediterranean Forests, Woodlands & Scrub",1
382,3374.0,844.7,396,"Mediterranean Forests, Woodlands & Scrub",0
383,3378.7,931.9,842,Deserts & Xeric Shrublands,0
384,3420.9,985.1,1165,Deserts & Xeric Shrublands,0
385,3431.5,1040.9,390,Deserts & Xeric Shrublands,0
386,3479.2,1088.3,824,Deserts & Xeric Shrublands,0
387,3489.5,1186.4,262,Deserts & Xeric Shrublands,1
388,3520.8,1178.3,598,Tropical & Subtropical Moist Broadleaf Forests,1
389,3552.9,1163.6,629,Tropical & Subtropical Moist Broadleaf Forests,1
390,3492.9,1148.0,385,Deserts & Xeric Shrublands,0
391,3509.2,1108.3,917,Deserts & Xeric Shrublands,0
392,3540.3,994.8,546,Deserts & Xeric Shrublands,0
393,3455.3,952.1,2971,Deserts & Xeric Shrublands,0
394,3561.2,953.3,1066,Deserts & Xeric Shrublands,1
395,3599.6,992.2,573,Deserts & Xeric Shrublands,1
396,3594.4,972.0,44,Deserts & Xeric Shrublands,1
397,3641.2,1012.2,555,Deserts & Xeric Shrublands,1
398,3672.8,995.2,685,Deserts & Xeric Shrublands,1
399,3688.7,1004.9,253,Deserts & Xeric Shrublands,1
400,3718.0,1021.3,310,Deserts & Xeric Shrublands,1
401,3651.1,1115.5,664,Tropical & Subtropical Moist Broadleaf Forests,1
402,3601.6,1145.2,503,Tropical & Subtropical Moist Broadleaf Forests,1
403,3693.0,1032.5,875,Deserts & Xeric Shrublands,0
404,3650.2,1025.0,580,Deserts & Xeric Shrublands,0
405,3411.9,828.3,1103,"Temperate Grasslands, Savannas & Shrublands",0
406,3468.0,832.2,752,Deserts & Xeric Shrublands,0
407,3422.1,798.2,831,"Mediterranean Forests, Woodlands & Scrub",0
408,3552.0,900.7,259,Deserts & Xeric Shrublands,1
409,3487.0,856.7,415,Deserts & Xeric Shrublands,0
410,3500.9,845.9,578,Deserts & Xeric Shrublands,0
411,3478.8,791.0,524,"Mediterranean Forests, Woodlands & Scrub",0
412,3571.8,887.5,953,Deserts & Xeric Shrublands,1
413,3567.5,848.4,402,Temperate Broadleaf & Mixed Forests,0
414,3574.0,822.6,597,Temperate Broadleaf & Mixed Forests,0
415,3499.1,811.9,399,"Temperate Grasslands, Savannas & Shrublands",0
416,3532.6,761.7,428,"Temperate Grasslands, Savannas & Shrublands",1
