province_id,province_name,history_file,definition_status,current_owner,tribal_owner,dated_1444_owner,dated_owner_date,proposed_owner,country_name,category,status,confidence,authority_type,culture,religion,native_size,longitude,latitude,land_luma_ratio,source_url,source_note,reviewer,review_date
15,Midtjylland,15-Jylland.txt,x,DAN,,,,DAN,Denmark,existing_owner,existing,source_explicit,state_or_polity,danish,catholic,,7.90318,55.85091,0.000000,,Existing top-level owner in the imported province history.,,
16,Bohusl�n,16-Bohuslan.txt,x,NOR,,,,NOR,Norway,existing_owner,existing,source_explicit,state_or_polity,norwegian,catholic,,10.97995,57.98417,0.000000,,Existing top-level owner in the imported province history.,,
17,Akershus,17-Akershus.txt,x,NOR,,,,NOR,Norway,existing_owner,existing,source_explicit,state_or_polity,norwegian,catholic,,9.39462,59.75292,0.000000,,Existing top-level owner in the imported province history.,,
18,Ume�,18-Lappland.txt,x,SWE,,SWE,1440.1.1,SWE,Sweden,applied_documented_assignment,applied,source_explicit,state_or_polity,sapmi,catholic,3,16.73264,63.78729,0.000000,,Promoted from the imported 1440.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
19,�sterbotten,19-Osterbotten.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,finnish,catholic,,23.59034,62.47025,0.000000,,Existing top-level owner in the imported province history.,,
20,Tr�ndelag,20-Trondelag.txt,x,NOR,,,,NOR,Norway,existing_owner,existing,source_explicit,state_or_polity,norwegian,catholic,,10.92859,62.79839,0.000000,,Existing top-level owner in the imported province history.,,
21,H�logaland,21-Halogaland.txt,x,NOR,,,,NOR,Norway,existing_owner,existing,source_explicit,state_or_polity,norwegian,catholic,,15.31628,65.71826,0.000000,,Existing top-level owner in the imported province history.,,
22,Oplandene,22-Eisdiva.txt,x,NOR,,,,NOR,Norway,existing_owner,existing,source_explicit,state_or_polity,norwegian,catholic,,10.63596,60.72247,0.000000,,Existing top-level owner in the imported province history.,,
23,Bergenshus,23-Bergenshus.txt,x,NOR,,,,NOR,Norway,existing_owner,existing,source_explicit,state_or_polity,norwegian,catholic,,5.45641,60.22744,0.000000,,Existing top-level owner in the imported province history.,,
24,Stavanger,24-Agder.txt,x,NOR,,,,NOR,Norway,existing_owner,existing,source_explicit,state_or_polity,norwegian,catholic,,5.53039,58.54177,0.000000,,Existing top-level owner in the imported province history.,,
25,Gotland,25-Gotland.txt,x,GOT,,,,GOT,Gotland,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,17.85241,57.19387,0.000000,,Existing top-level owner in the imported province history.,,
26,Halland,26-Halland.txt,x,DAN,,,,DAN,Denmark,existing_owner,existing,source_explicit,state_or_polity,danish,catholic,,12.11196,56.74061,0.000000,,Existing top-level owner in the imported province history.,,
27,Finland,27-Finland.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,swedish,catholic,,21.56339,60.35342,0.000000,,Existing top-level owner in the imported province history.,,
28,Nyland,28 - Nyland.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,finnish,catholic,,24.82369,59.87783,0.000000,,Existing top-level owner in the imported province history.,,
29,Tavastland,29 -Tavastland.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,finnish,catholic,,24.65262,61.10938,0.000000,,Existing top-level owner in the imported province history.,,
30,Viborg,30-Viborg.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,finnish,catholic,,28.07165,60.07064,0.000000,,Existing top-level owner in the imported province history.,,
31,Savolax,31-Savolaks.txt,x,SWE,,,,SWE,Sweden,existing_owner,existing,source_explicit,state_or_polity,finnish,catholic,,26.86024,61.62544,0.000000,,Existing top-level owner in the imported province history.,,
32,Kexholm,32-Keksholm.txt,x,NOV,,,,NOV,Novgorod,existing_owner,existing,source_explicit,state_or_polity,karelian,orthodox,,30.14676,60.99279,0.000000,,Existing top-level owner in the imported province history.,,
33,Neva,33-Neva.txt,x,NOV,,,,NOV,Novgorod,existing_owner,existing,source_explicit,state_or_polity,karelian,orthodox,,29.63173,59.26426,0.000000,,Existing top-level owner in the imported province history.,,
34,Ingermanland,34-Ingermanland.txt,x,NOV,,,,NOV,Novgorod,existing_owner,existing,source_explicit,state_or_polity,novgorodian,orthodox,,28.33725,58.77155,0.000000,,Existing top-level owner in the imported province history.,,
35,�sel,35 - Osel.txt,x,LIV,,,,LIV,LivonianOrder,existing_owner,existing,source_explicit,state_or_polity,estonian,catholic,,21.83308,58.11863,0.000000,,Existing top-level owner in the imported province history.,,
36,Estland,36 - Estland.txt,x,LIV,,,,LIV,LivonianOrder,existing_owner,existing,source_explicit,state_or_polity,estonian,catholic,,24.15501,58.57218,0.000000,,Existing top-level owner in the imported province history.,,
37,Livland,37 - Livland.txt,x,LIV,,,,LIV,LivonianOrder,existing_owner,existing,source_explicit,state_or_polity,latvian,catholic,,24.57182,57.60690,0.000000,,Existing top-level owner in the imported province history.,,
38,Riga,38 - Riga.txt,x,RIG,,,,RIG,Riga,existing_owner,existing,source_explicit,state_or_polity,baltic_german,catholic,,23.85083,56.75900,0.000000,,Existing top-level owner in the imported province history.,,
39,Kurland,39 - Kurland.txt,x,LIV,,,,LIV,LivonianOrder,existing_owner,existing,source_explicit,state_or_polity,latvian,catholic,,21.22596,56.76009,0.000000,,Existing top-level owner in the imported province history.,,
40,Memel,40 - Memel.txt,x,TEU,,,,TEU,Teutonic Order,existing_owner,existing,source_explicit,state_or_polity,lithuanian,catholic,,21.13348,55.23360,0.000000,,Existing top-level owner in the imported province history.,,
41,Ostpreussen,41 - Konigsberg.txt,x,TEU,,,,TEU,Teutonic Order,existing_owner,existing,source_explicit,state_or_polity,prussian,catholic,,20.21865,54.70569,0.000000,,Existing top-level owner in the imported province history.,,
42,Warmia,42 - Warmia.txt,x,TEU,,,,TEU,Teutonic Order,existing_owner,existing,source_explicit,state_or_polity,prussian,catholic,,19.74301,54.13159,0.000000,,Existing top-level owner in the imported province history.,,
43,Danzig,43 - Danzig.txt,x,TEU,,,,TEU,Teutonic Order,existing_owner,existing,source_explicit,state_or_polity,prussian,catholic,,17.75596,54.47800,0.000000,,Existing top-level owner in the imported province history.,,
44,Hamburg,44 - Hamburg.txt,x,HAM,,,,HAM,Hamburg,existing_owner,existing,source_explicit,state_or_polity,lower_saxon,catholic,,9.09414,53.76291,0.000000,,Existing top-level owner in the imported province history.,,
45,L�beck,45 - Lubeck.txt,x,HSA,,,,HSA,Hansa,existing_owner,existing,source_explicit,state_or_polity,lower_saxon,catholic,,9.96503,54.04903,0.000000,,Existing top-level owner in the imported province history.,,
46,Mecklenburg,46 - Rostock.txt,x,MKL,,,,MKL,Mecklenburg,existing_owner,existing,source_explicit,state_or_polity,pommeranian,catholic,,11.59377,53.97434,0.000000,,Existing top-level owner in the imported province history.,,
47,Stralsund,47 - Stralsund.txt,x,WOL,,,,WOL,Wolgast,existing_owner,existing,source_explicit,state_or_polity,pommeranian,catholic,,12.19753,54.22205,0.000000,,Existing top-level owner in the imported province history.,,
48,Kolberg,48 - Kolberg.txt,x,WOL,,,,WOL,Wolgast,existing_owner,existing,source_explicit,state_or_polity,pommeranian,catholic,,14.72281,54.07880,0.000000,,Existing top-level owner in the imported province history.,,
49,Neumark,49 - Neumark.txt,x,TEU,,TEU,1402.1.1,TEU,Teutonic Order,applied_documented_assignment,applied,source_explicit,state_or_polity,saxon,catholic,,14.58632,53.20751,0.000000,,Promoted from the imported 1402.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
50,Berlin,50 - Berlin.txt,x,BRA,,,,BRA,Brandenburg,existing_owner,existing,source_explicit,state_or_polity,saxon,catholic,,13.11775,52.91445,0.000000,,Existing top-level owner in the imported province history.,,
51,Ruppin,51 - Ruppin.txt,x,BRA,,,,BRA,Brandenburg,existing_owner,existing,source_explicit,state_or_polity,saxon,catholic,,12.19293,53.17554,0.000000,,Existing top-level owner in the imported province history.,,
52,Magdeburg,52 - Magdeburg.txt,x,MAG,,,,MAG,Magdeburg,existing_owner,existing,source_explicit,state_or_polity,saxon,catholic,,11.14304,52.52615,0.000000,,Existing top-level owner in the imported province history.,,
53,L�neburg,53 - Luneburg.txt,x,LUN,,,,LUN,Luneburg,existing_owner,existing,source_explicit,state_or_polity,lower_saxon,catholic,,9.75069,53.20791,0.000000,,Existing top-level owner in the imported province history.,,
54,Bremen,54 - Stade.txt,x,VER,,,,VER,Verden,existing_owner,existing,source_explicit,state_or_polity,lower_saxon,catholic,,8.37545,53.66372,0.000000,,Existing top-level owner in the imported province history.,,
55,Oldenburg,55 - Oldenburg.txt,x,OLD,,,,OLD,Oldenburg,existing_owner,existing,source_explicit,state_or_polity,hannoverian,catholic,,7.39071,53.43661,0.000000,,Existing top-level owner in the imported province history.,,
56,Osnabr�ck,56 - Osnabruck.txt,x,MUN,,,,MUN,Münster,existing_owner,existing,source_explicit,state_or_polity,hannoverian,catholic,,7.07813,52.62180,0.000000,,Existing top-level owner in the imported province history.,,
57,Hannover,57 - Brunswick.txt,x,BRU,,,,BRU,Brunswick,existing_owner,existing,source_explicit,state_or_polity,lower_saxon,catholic,,9.50778,52.26770,0.000000,,Existing top-level owner in the imported province history.,,
58,Anhalt,58 - Anhalt.txt,x,ANH,,,,ANH,Anhalt,existing_owner,existing,source_explicit,state_or_polity,saxon,catholic,,11.37999,52.13270,0.000000,,Existing top-level owner in the imported province history.,,
59,Meissen,59 - Wittenberg.txt,x,SAX,,,,SAX,Saxony,existing_owner,existing,source_explicit,state_or_polity,saxon,catholic,,12.33047,52.04052,0.000000,,Existing top-level owner in the imported province history.,,
60,Lausitz,60 - Lausitz.txt,x,BOH,,,,BOH,Bohemia,existing_owner,existing,source_explicit,state_or_polity,sorbian,catholic,,13.81267,51.64663,0.784314,,Existing top-level owner in the imported province history.,,
61,Dresden,61 - Dresden.txt,x,SAX,,SAX,1423.1.6,SAX,Saxony,applied_documented_assignment,applied,source_explicit,state_or_polity,saxon,catholic,,12.99926,51.58802,0.370892,,Promoted from the imported 1423.1.6 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
62,Leipzig,62 - Leipzig.txt,x,SAX,,,,SAX,Saxony,existing_owner,existing,source_explicit,state_or_polity,saxon,catholic,,11.24711,51.66985,0.000000,,Existing top-level owner in the imported province history.,,
63,Erfurt,63 - Erfurt.txt,x,THU,,,,THU,Thuringia,existing_owner,existing,source_explicit,state_or_polity,saxon,catholic,,10.10130,51.36606,0.000000,,Existing top-level owner in the imported province history.,,
64,Niederbayern,64 - Landshut.txt,x,LBV,,,,LBV,Landshut,existing_owner,existing,source_explicit,state_or_polity,bavarian,catholic,,11.87578,49.03927,1.000000,,Existing top-level owner in the imported province history.,,
65,M�nchen,65 - Munchen.txt,x,UBV,,,,UBV,Munich,existing_owner,existing,source_explicit,state_or_polity,bavarian,catholic,,10.75395,48.47298,0.739583,,Existing top-level owner in the imported province history.,,
66,Bamberg,66 - Bamberg.txt,x,BAM,,,,BAM,Bamberg,existing_owner,existing,source_explicit,state_or_polity,franconian,catholic,,10.38405,50.38091,0.000000,,Existing top-level owner in the imported province history.,,
67,Franken,67 - Nurnberg.txt,x,NUM,,,,NUM,Nuremberg,existing_owner,existing,source_explicit,state_or_polity,franconian,catholic,,10.71664,49.93795,0.268817,,Existing top-level owner in the imported province history.,,
68,Memmingen,68 - Memmingen.txt,x,MEM,,,,MEM,Memmingen,existing_owner,existing,source_explicit,state_or_polity,swabian,catholic,,9.30195,48.51542,0.416667,,Existing top-level owner in the imported province history.,,
69,Konstanz,69 - Dortmund.txt,x,RVA,,,,RVA,Dortmund,existing_owner,existing,source_explicit,state_or_polity,hannoverian,catholic,,6.62775,51.92479,0.000000,,Existing top-level owner in the imported province history.,,
70,W�rttemberg,70 - Wurttemberg.txt,x,WUR,,,,WUR,Wurttemberg,existing_owner,existing,source_explicit,state_or_polity,swabian,catholic,,8.68815,49.28270,0.000000,,Existing top-level owner in the imported province history.,,
71,Leiningen,71 - Ansbach.txt,x,ANS,,,,ANS,Ansbach,existing_owner,existing,source_explicit,state_or_polity,franconian,catholic,,9.93433,49.83536,0.052133,,Existing top-level owner in the imported province history.,,
72,Breisgau,72 - Breisgau.txt,x,HAB,,,,HAB,Austria,existing_owner,existing,source_explicit,state_or_polity,swabian,catholic,,7.45787,48.44934,0.000000,,Existing top-level owner in the imported province history.,,
73,Tirol,73 - Tirol.txt,x,HAB,,,,HAB,Austria,existing_owner,existing,source_explicit,state_or_polity,austrian,catholic,,10.29554,47.89301,0.806283,,Existing top-level owner in the imported province history.,,
74,Baden,74 - Baden.txt,x,BAD,,,,BAD,Baden,existing_owner,existing,source_explicit,state_or_polity,swabian,catholic,,7.41882,48.93940,0.000000,,Existing top-level owner in the imported province history.,,
75,Elsass,75 - Elsass.txt,x,ALS,,,,ALS,Alsace,existing_owner,existing,source_explicit,state_or_polity,swabian,catholic,,6.82678,49.29092,0.000000,,Existing top-level owner in the imported province history.,,
76,Salzburg,76 - Salzburg.txt,x,SLZ,,,,SLZ,Salzburg,existing_owner,existing,source_explicit,state_or_polity,bavarian,catholic,,12.26143,48.25422,1.000000,,Existing top-level owner in the imported province history.,,
77,Worms,77 - Heidelberg.txt,x,PAL,,,,PAL,Palatinate,existing_owner,existing,source_explicit,state_or_polity,hessian,catholic,,8.21378,49.81731,0.000000,,Existing top-level owner in the imported province history.,,
78,Pfalz,78 - Mainz.txt,x,MAI,,,,MAI,Mainz,existing_owner,existing,source_explicit,state_or_polity,hessian,catholic,,7.67601,50.38318,0.000000,,Existing top-level owner in the imported province history.,,
79,W�rzburg,79 - Wurzburg.txt,x,WBG,,,,WBG,Wurzburg,existing_owner,existing,source_explicit,state_or_polity,franconian,catholic,,9.43991,50.40239,0.000000,,Existing top-level owner in the imported province history.,,
80,Trier,80 - Trier.txt,x,TRI,,,,TRI,Trier,existing_owner,existing,source_explicit,state_or_polity,hessian,catholic,,6.10643,50.26714,0.000000,,Existing top-level owner in the imported province history.,,
81,Hessen,81 - Hessen.txt,x,HES,,,,HES,Hessen,existing_owner,existing,source_explicit,state_or_polity,hessian,catholic,,8.20714,51.09053,0.000000,,Existing top-level owner in the imported province history.,,
82,Lippe,82 - Lippe.txt,x,KOL,,,,KOL,Cologne,existing_owner,existing,source_explicit,state_or_polity,hannoverian,catholic,,7.58307,51.54738,0.000000,,Existing top-level owner in the imported province history.,,
83,Nassau,83 - Nassau.txt,x,NSA,,,,NSA,Nassau,existing_owner,existing,source_explicit,state_or_polity,hessian,catholic,,7.16548,51.00523,0.000000,,Existing top-level owner in the imported province history.,,
84,Berg,84 - Berg.txt,x,BRG,,,,BRG,Berg,existing_owner,existing,source_explicit,state_or_polity,hessian,catholic,,6.60855,51.54450,0.000000,,Existing top-level owner in the imported province history.,,
85,K�ln,85 - Koln.txt,x,KOL,,,,KOL,Cologne,existing_owner,existing,source_explicit,state_or_polity,hessian,catholic,,6.08130,51.35346,0.000000,,Existing top-level owner in the imported province history.,,
86,M�nster,86 - Munster.txt,x,MUN,,,,MUN,Münster,existing_owner,existing,source_explicit,state_or_polity,hannoverian,catholic,,6.88708,52.16326,0.000000,,Existing top-level owner in the imported province history.,,
87,Calais,87 - Calais.txt,x,ENG,,,,ENG,England,existing_owner,existing,source_explicit,state_or_polity,wallonian,catholic,,1.27912,51.14196,0.000000,,Existing top-level owner in the imported province history.,,
88,Artois,88 - Artois.txt,x,BUR,,,,BUR,Burgundy,existing_owner,existing,source_explicit,state_or_polity,wallonian,catholic,,1.89148,50.70118,0.000000,,Existing top-level owner in the imported province history.,,
89,Picardie,89 - Picardie.txt,x,BUR,,BUR,1435.1.1,BUR,Burgundy,applied_documented_assignment,applied,source_explicit,state_or_polity,cosmopolitan_french,catholic,,1.25887,50.42927,0.000000,,Promoted from the imported 1435.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
90,Vlaanderen,90 - Vlaanderen.txt,x,FLA,,,,FLA,Flanders,existing_owner,existing,source_explicit,state_or_polity,flemish,catholic,,2.17460,51.34313,0.000000,,Existing top-level owner in the imported province history.,,
91,Hainault,91 - Hainaut.txt,x,BUR,,,,BUR,Burgundy,existing_owner,existing,source_explicit,state_or_polity,wallonian,catholic,,3.27288,50.78844,0.000000,,Existing top-level owner in the imported province history.,,
92,Brabant,92 - Brabant.txt,x,BRB,,,,BRB,Brabant,existing_owner,existing,source_explicit,state_or_polity,flemish,catholic,,3.89051,51.13187,0.000000,,Existing top-level owner in the imported province history.,,
93,Li�ge,93 - Liege.txt,x,LIE,,,,LIE,Liege,existing_owner,existing,source_explicit,state_or_polity,wallonian,catholic,,4.84636,50.68544,0.000000,,Existing top-level owner in the imported province history.,,
94,Luxemburg,94 - Luxemburg.txt,x,BUR,,,,BUR,Burgundy,existing_owner,existing,source_explicit,state_or_polity,wallonian,catholic,,5.22165,50.11703,0.000000,,Existing top-level owner in the imported province history.,,
95,Noord,95 - Breda.txt,x,BRB,,,,BRB,Brabant,existing_owner,existing,source_explicit,state_or_polity,dutch,catholic,,4.48014,51.83228,0.000000,,Existing top-level owner in the imported province history.,,
96,Zeeland,96 - Zeeland.txt,x,HOL,,,,HOL,Holland,existing_owner,existing,source_explicit,state_or_polity,dutch,catholic,,3.42598,51.86707,0.000000,,Existing top-level owner in the imported province history.,,
97,Holland,97 - Holland.txt,x,HOL,,,,HOL,Holland,existing_owner,existing,source_explicit,state_or_polity,dutch,catholic,,4.20329,52.82621,0.000000,,Existing top-level owner in the imported province history.,,
98,Utrecht,98 - Utrecht.txt,x,UTR,,,,UTR,Utrecht,existing_owner,existing,source_explicit,state_or_polity,dutch,catholic,,4.60151,52.32288,0.000000,,Existing top-level owner in the imported province history.,,
99,Gelre,99 - Gelre.txt,x,GEL,,,,GEL,Gelre,existing_owner,existing,source_explicit,state_or_polity,dutch,catholic,,5.38885,52.37756,0.000000,,Existing top-level owner in the imported province history.,,
100,Friesland,100 - Friesland.txt,x,FRI,,,,FRI,Friesland,existing_owner,existing,source_explicit,state_or_polity,frisian,catholic,,5.20354,53.28553,0.000000,,Existing top-level owner in the imported province history.,,
101,Liguria,101 - Genoa.txt,x,GEN,,,,GEN,Genoa,existing_owner,existing,source_explicit,state_or_polity,ligurian,catholic,,8.48786,45.20442,0.962121,,Existing top-level owner in the imported province history.,,
102,Nice,102 - Nice.txt,x,SAV,,,,SAV,Savoy,existing_owner,existing,source_explicit,state_or_polity,ligurian,catholic,,6.50870,44.65402,0.950000,,Existing top-level owner in the imported province history.,,
103,Niklas,103 - Piedmont.txt,x,SAV,,,,SAV,Savoy,existing_owner,existing,source_explicit,state_or_polity,piedmontese,catholic,,6.83159,46.10789,1.000000,,Existing top-level owner in the imported province history.,,
104,Lombardia,104 - Milan.txt,x,MLO,,,,MLO,Milan,existing_owner,existing,source_explicit,state_or_polity,lombard,catholic,,8.36626,46.34233,1.000000,,Existing top-level owner in the imported province history.,,
105,Parma,105 - Parma.txt,x,MLO,,,,MLO,Milan,existing_owner,existing,source_explicit,state_or_polity,romagnan,catholic,,9.15749,45.40630,1.000000,,Existing top-level owner in the imported province history.,,
106,Modena,106 - Modena.txt,x,FER,,,,FER,Ferrara,existing_owner,existing,source_explicit,state_or_polity,romagnan,catholic,,10.01953,45.24086,1.000000,,Existing top-level owner in the imported province history.,,
107,Brescia,107 - Brescia.txt,x,VEN,,VEN,1428.1.1,VEN,Venice,applied_documented_assignment,applied,source_explicit,state_or_polity,lombard,catholic,,9.69212,46.61398,1.000000,,Promoted from the imported 1428.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
108,Verona,108 - Verona.txt,x,VEN,,VEN,1405.1.1,VEN,Venice,applied_documented_assignment,applied,source_explicit,state_or_polity,venetian,catholic,,10.19400,46.34153,1.000000,,Promoted from the imported 1405.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
109,Mantua,109 - Mantua.txt,x,MAN,,,,MAN,Mantua,existing_owner,existing,source_explicit,state_or_polity,romagnan,catholic,,9.81013,45.86123,1.000000,,Existing top-level owner in the imported province history.,,
110,Trent,110 - Trent.txt,x,TNT,,,,TNT,Trent,existing_owner,existing,source_explicit,state_or_polity,venetian,catholic,,10.50919,46.96397,1.000000,,Existing top-level owner in the imported province history.,,
111,Friuli,111 - Friuli.txt,x,VEN,,VEN,1420.1.1,VEN,Venice,applied_documented_assignment,applied,source_explicit,state_or_polity,venetian,catholic,,12.15053,46.82103,0.627451,,Promoted from the imported 1420.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
112,Venezia,112 - Venezia.txt,x,VEN,,,,VEN,Venice,existing_owner,existing,source_explicit,state_or_polity,venetian,catholic,,11.49638,46.19341,0.000000,,Existing top-level owner in the imported province history.,,
113,Ferrara,113 - Ferrara.txt,x,FER,,,,FER,Ferrara,existing_owner,existing,source_explicit,state_or_polity,romagnan,catholic,,11.15335,45.60493,0.530120,,Existing top-level owner in the imported province history.,,
114,Romagna,114 - Romagna.txt,x,VEN,,,,VEN,Venice,existing_owner,existing,source_explicit,state_or_polity,romagnan,catholic,,11.32362,45.00748,0.285714,,Existing top-level owner in the imported province history.,,
115,Pisa,115 - Pisa.txt,x,LAN,,LAN,1405.1.1,LAN,Florence,applied_documented_assignment,applied,source_explicit,state_or_polity,tuscan,catholic,,9.94899,43.98665,0.535354,,Promoted from the imported 1405.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
116,Firenze,116 - Firenze.txt,x,LAN,,,,LAN,Florence,existing_owner,existing,source_explicit,state_or_polity,tuscan,catholic,,10.46906,44.47523,1.000000,,Existing top-level owner in the imported province history.,,
117,Siena,117 - Siena.txt,x,SIE,,SIE,1404.1.1,SIE,Siena,existing_owner,existing,source_explicit,state_or_polity,tuscan,catholic,,10.68362,43.57147,0.962025,,Existing top-level owner in the imported province history.,,
118,Roma,118 - Roma.txt,x,PAP,,PAP,1414.8.6,PAP,Papal,existing_owner,existing,source_explicit,state_or_polity,umbrian,catholic,,11.57164,42.83955,0.995455,,Existing top-level owner in the imported province history.,,
119,Ancona,119 - Ancona.txt,x,PAP,,,,PAP,Papal,existing_owner,existing,source_explicit,state_or_polity,umbrian,catholic,,12.58146,43.96486,0.825911,,Existing top-level owner in the imported province history.,,
120,Abbruzzi,120 - Abbruzzi.txt,x,NAP,,,,NAP,Naples,existing_owner,existing,source_explicit,state_or_polity,neapolitan,catholic,,13.11777,43.05011,0.931193,,Existing top-level owner in the imported province history.,,
121,Napoli,121 - Napoli.txt,x,NAP,,,,NAP,Naples,existing_owner,existing,source_explicit,state_or_polity,neapolitan,catholic,,13.59163,41.90601,0.984293,,Existing top-level owner in the imported province history.,,
122,Apulia,122 - Apulia.txt,x,NAP,,,,NAP,Naples,existing_owner,existing,source_explicit,state_or_polity,neapolitan,catholic,,17.05706,41.12847,0.924107,,Existing top-level owner in the imported province history.,,
123,Calabria,123 - Calabria.txt,x,NAP,,,,NAP,Naples,existing_owner,existing,source_explicit,state_or_polity,sicilian,catholic,,15.60221,39.30164,0.899582,,Existing top-level owner in the imported province history.,,
124,Messina,124 - Messina.txt,x,ARA,,ARA,1409.7.25,ARA,Aragon,applied_documented_assignment,applied,source_explicit,state_or_polity,sicilian,catholic,,14.15011,38.46208,0.842640,,Promoted from the imported 1409.7.25 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
125,Palermo,125 - Palermo.txt,x,ARA,,ARA,1409.7.25,ARA,Aragon,applied_documented_assignment,applied,source_explicit,state_or_polity,sicilian,catholic,,12.94594,38.49029,0.916667,,Promoted from the imported 1409.7.25 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
126,Malta,126 - Malta.txt,x,ARA,,ARA,1409.7.25,ARA,Aragon,applied_documented_assignment,applied,source_explicit,state_or_polity,maltese,catholic,,13.67685,36.50424,0.566667,,Promoted from the imported 1409.7.25 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
127,Sardinia,127 - Sassari.txt,x,ARA,,ARA,1420.1.1,ARA,Aragon,applied_documented_assignment,applied,source_explicit,state_or_polity,sardinian,catholic,,8.39538,41.42740,0.911475,,Promoted from the imported 1420.1.1 owner event for the 1444-11-11 scenario.,Codex data migration,2026-07-10
128,K�rnten,128 - Karnten.txt,x,HAB,,,,HAB,Austria,existing_owner,existing,source_explicit,state_or_polity,austrian,catholic,,13.75962,47.37148,1.000000,,Existing top-level owner in the imported province history.,,
129,Krain,129 - Krain.txt,x,HAB,,,,HAB,Austria,existing_owner,existing,source_explicit,state_or_polity,slovene,catholic,,13.86541,46.67835,1.000000,,Existing top-level owner in the imported province history.,,
