province_id,province_name,longitude,latitude,biome_id,biome_name,red,green,blue,assignment_method,source_url
34,Ingermanland,28.33725,58.77153,1,Boreal Forests/Taiga,57,88,64,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
35,Ösel,21.83308,58.11864,1,Boreal Forests/Taiga,57,88,64,latitude_fallback,
36,Estland,24.15501,58.57217,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
37,Livland,24.57182,57.60690,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
38,Riga,23.85083,56.75900,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
39,Kurland,21.22596,56.76007,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
40,Memel,21.13348,55.23360,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
41,Ostpreussen,20.21865,54.70569,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
42,Warmia,19.74301,54.13157,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
43,Danzig,17.75596,54.47799,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
44,Hamburg,9.09414,53.76289,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
45,Lübeck,9.96503,54.04902,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
46,Mecklenburg,11.59377,53.97433,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
47,Stralsund,12.19753,54.22205,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
48,Kolberg,14.72281,54.07879,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
49,Neumark,14.58632,53.20751,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
50,Berlin,13.11775,52.91446,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
51,Ruppin,12.19293,53.17552,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
52,Magdeburg,11.14304,52.52617,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
53,Lüneburg,9.75069,53.20790,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
54,Bremen,8.37545,53.66370,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
55,Oldenburg,7.39071,53.43662,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
56,Osnabrück,7.07813,52.62182,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
57,Hannover,9.50778,52.26770,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
58,Anhalt,11.37999,52.13269,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
59,Meissen,12.33047,52.04054,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
60,Lausitz,13.81267,51.64662,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
61,Dresden,12.99926,51.58804,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
62,Leipzig,11.24711,51.66983,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
63,Erfurt,10.10130,51.36608,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
64,Niederbayern,11.87578,49.03929,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
65,München,10.75395,48.47296,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
66,Bamberg,10.38405,50.38091,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
67,Franken,10.71664,49.93794,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
68,Memmingen,9.30195,48.51540,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
69,Konstanz,6.62775,51.92481,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
70,Württemberg,8.68815,49.28268,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
71,Leiningen,9.93433,49.83538,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
72,Breisgau,7.45787,48.44934,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
73,Tirol,10.29554,47.89300,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
74,Baden,7.41882,48.93941,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
75,Elsass,6.82678,49.29090,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
76,Salzburg,12.26143,48.25421,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
77,Worms,8.21378,49.81732,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
78,Pfalz,7.67601,50.38316,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
79,Würzburg,9.43991,50.40238,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
80,Trier,6.10643,50.26715,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
81,Hessen,8.20714,51.09055,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
82,Lippe,7.58307,51.54738,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
83,Nassau,7.16548,51.00522,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
84,Berg,6.60855,51.54451,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
85,Köln,6.08130,51.35345,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
86,Münster,6.88708,52.16325,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
87,Calais,1.27912,51.14196,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
88,Artois,1.89148,50.70119,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
89,Picardie,1.25887,50.42925,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
90,Vlaanderen,2.17460,51.34312,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
91,Hainault,3.27288,50.78844,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
92,Brabant,3.89051,51.13189,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
93,Liège,4.84636,50.68542,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
94,Luxemburg,5.22165,50.11704,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
95,Noord,4.48014,51.83227,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
96,Zeeland,3.42598,51.86708,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
97,Holland,4.20329,52.82619,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
98,Utrecht,4.60151,52.32290,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
99,Gelre,5.38885,52.37758,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
100,Friesland,5.20354,53.28554,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
101,Liguria,8.48786,45.20440,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
102,Nice,6.50870,44.65400,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
103,Niklas,6.83159,46.10787,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
104,Lombardia,8.36626,46.34232,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
105,Parma,9.15749,45.40630,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
106,Modena,10.01953,45.24085,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
107,Brescia,9.69212,46.61399,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
108,Verona,10.19400,46.34153,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
109,Mantua,9.81013,45.86125,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
110,Trent,10.50919,46.96398,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
111,Friuli,12.15053,46.82102,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
112,Venezia,11.49638,46.19343,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
113,Ferrara,11.15335,45.60492,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
114,Romagna,11.32362,45.00748,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
115,Pisa,9.94899,43.98664,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
116,Firenze,10.46906,44.47521,6,"Mediterranean Forests, Woodlands & Scrub",119,132,72,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
117,Siena,10.68362,43.57148,6,"Mediterranean Forests, Woodlands & Scrub",119,132,72,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
118,Roma,11.57164,42.83954,6,"Mediterranean Forests, Woodlands & Scrub",119,132,72,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
119,Ancona,12.58146,43.96484,6,"Mediterranean Forests, Woodlands & Scrub",119,132,72,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
120,Abbruzzi,13.11777,43.05009,6,"Mediterranean Forests, Woodlands & Scrub",119,132,72,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
121,Napoli,13.59163,41.90603,6,"Mediterranean Forests, Woodlands & Scrub",119,132,72,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
122,Apulia,17.05706,41.12844,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
123,Calabria,15.60221,39.30162,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
124,Messina,14.15011,38.46206,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
125,Palermo,12.94594,38.49028,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
126,Malta,13.67685,36.50426,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
127,Sardinia,8.39538,41.42741,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
128,Kärnten,13.75962,47.37148,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
129,Krain,13.86541,46.67837,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
130,Istria,13.36930,45.84867,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
131,Croatia,15.31920,46.28058,10,Temperate Conifer Forests,61,103,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
132,Steiermark,13.78488,48.07070,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
133,Linz,13.99404,49.16278,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
134,Wien,15.70654,48.71580,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
135,Sopron,16.16582,47.92450,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
136,Dalmatia,15.76576,44.16754,6,"Mediterranean Forests, Woodlands & Scrub",119,132,72,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
137,Ragusa,17.12865,43.52078,6,"Mediterranean Forests, Woodlands & Scrub",119,132,72,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
138,Zeta,18.93263,43.41816,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
139,Hum,16.76273,44.46746,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
140,Bosnia,17.30239,45.49950,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
141,Serbia,19.99186,44.93692,9,Temperate Broadleaf & Mixed Forests,81,119,70,wwf_biome_centroid,https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/GlobalBiomes/FeatureServer/0
142,Corfu,19.08778,40.24272,9,Temperate Broadleaf & Mixed Forests,81,119,70,latitude_fallback,
